Angular_Width,27.0,36.0,31.0,29.0,35.0,39.0,42.0,47.0,35.0,39.0,30.0,34.0,47.0,32.0,38.0,36.0,41.0,37.0,34.0,50.0,20.0,32.0,28.0,59.0,40.0,45.0,39.0,23.0,23.0,39.0,38.0,35.0
Velocity,1700.0,1323.0,1334.0,602.0,815.0,1081.0,950.0,1450.0,900.0,870.0,1638.0,1200.0,1020.0,830.0,1225.0,680.0,648.0,400.0,1040.0,974.0,341.0,850.0,538.0,1500.0,944.0,1150.0,930.0,685.0,460.0,670.0,680.0,640.0
Observed,395.0,846.0,558.0,501.0,501.0,711.0,502.0,563.0,374.0,429.0,423.0,419.0,620.0,487.0,483.0,373.0,568.0,352.0,532.0,530.0,564.0,451.0,401.0,483.0,462.0,438.0,461.0,376.0,376.0,383.0,423.0,491.0
Spheroidal,,,,,,735.5732814852482,679.760499270725,593.5243207504535,,633.3899252095395,,,,759.6996709905285,669.8813954674338,,368.86080051446146,427.13632452378727,,666.8482631783245,485.6563891705737,,422.9261711367471,546.1304307908214,605.3567160121722,,426.00872178613025,,347.8748563635729,534.3351579975215,501.3178335778737,551.5045889867012
tt_1.0h,,,,,,526.5424249165587,430.14172220729535,379.65944175441336,,579.1152604709811,,,,640.6673467481958,519.7382930182783,,301.83449440351677,349.6809997545904,,498.87949223197023,485.2364787198374,,422.9261711367471,506.80439227076727,446.8292008018024,,374.5668862441273,,335.3210444931789,388.3865014450948,420.9441985898005,435.53911330191386
tt_1.5h,,,,,,545.7563685872824,453.88912837244237,402.15141611401316,,585.8901927191405,,,,651.922079458684,535.9495911477632,,302.50648711379586,355.3959624602682,,509.24007875770764,485.27489155422404,,422.9261711367471,511.192036735799,459.17106969657095,,372.28429980365433,,335.31845196643826,397.3645349212885,417.2337896477248,442.2854549708404
tt_2.0h,,,,,,570.1900293924201,472.7293085059179,424.36111648650467,,592.7619697089929,,,,663.4235770969118,552.9313923621216,,303.34342546989706,359.60699780361665,,519.692529067395,485.3118724333814,,422.9261711367471,513.9451334049846,474.14546902395546,,369.54628654022645,,335.37621250958716,406.4244339865184,414.21470692011843,450.8299093162115
tt_2.5h,,,,,,589.6911298127328,492.4723335240166,445.9916580178918,,606.6443476806479,,,,674.7704881518971,569.913157430629,,307.4621775611544,364.90969992339984,,530.1561461613679,485.3849727122287,,422.9261711367471,516.1145622532874,488.66457206115894,,370.6933329095859,,335.4888099537066,415.40684672367394,420.0863863812885,455.98559002884923
tt_3.0h,,,,,,608.5901656792064,512.0483487713243,466.96526657444304,,610.8983184928559,,,,688.9778326161961,586.6746781116208,,309.0629822593075,369.5636326953889,,537.2049099737887,485.4171061504558,,422.9261711367471,518.1097082925971,497.25348696481814,,377.1345940852058,,335.5927217526096,424.20087571981884,424.86828955550743,464.60652740100795
tt_3.5h,,,,,,632.0417224570566,531.0434264899633,491.34502347998074,,615.0727221735217,,,,697.2189907103764,608.4930720170969,,314.15048458057197,373.5526027671642,,547.5185594176172,485.4473505561475,,422.9261711367471,520.1352710910959,511.29989300705216,,384.034488027983,,336.3626590067745,432.78245856387235,432.68221169151775,473.21129382998447
